,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
2007 - Badelek John,2007,1,2.57,0,0,0,0,0,0,0,0
2007 - Bailey James & Sizer Nick,2007,1,0,0,0,0,0,0,28.22,0,0
2007 - Bailey Pascoe & Feeney Robin,2007,3,0,3.48,4.28,0,0,21.92,0,0,0
2007 - Bairsto Charles,2007,1,0,0,4.13,0,0,0,0,0,0
2007 - Bairsto Charles & Bright Thomas,2007,1,0,0,0,0,23.23,0,0,0,0
2007 - Baker Hugh & Crane Mark,2007,1,0,0,0,0,27.2,0,0,0,0
2007 - Baker Paul & Manser Andi,2007,1,0,2.45,0,0,0,0,0,0,0
2007 - Baker Paul & Mansergh Andrew,2007,1,0,0,0,0,19.7,0,0,0,0
2007 - Baker Shaun & Hayes Darren,2007,3,0,2.75,3.55,5.67,0,0,0,0,0
2007 - Banister Michael & Wibrew Michael,2007,5,1.98,2.6,3.47,5.6,0,0,0,0,0
2007 - Bannister M J & Wibrew M,2007,1,0,0,0,0,19.8,0,0,0,0
2007 - Bapty Sonja & Ralph Paul,2007,1,2.18,0,0,0,0,0,0,0,0
2007 - Barker Mike & Chatterton Jamie,2007,1,0,3.32,0,0,0,0,0,0,0
2007 - Barker Mike & Simmons Anna,2007,1,0,0,4.93,0,0,0,0,0,0
2007 - Barnes Joe & Nixon Brian,2007,1,0,0,0,0,22.22,0,0,0,0
2007 - Barnes Joe & Nixon Oliver,2007,1,0,0,0,6.25,0,0,0,0,0
2007 - Barry Michael,2007,1,0,3.08,0,0,0,0,0,0,0
2007 - Barry Michael & Gore Christopher,2007,1,2.33,0,0,0,0,0,0,0,0
2007 - Bartoli Michael,2007,5,2.38,3.17,4.18,7.1,0,0,0,0,0
2007 - Bashford Cameron & Emery Matt,2007,2,0,0,5,0,0,23.18,0,0,0
2007 - Batt Geaorge & Beaumont Matthew,2007,3,2.4,0,3.97,6.62,0,0,0,0,0
2007 - Batt George & Beaumont Matthew,2007,1,0,0,0,0,0,20.82,0,0,0
2007 - Batty Thomas & Jones Matthew,2007,3,0,3.22,3.98,0,0,20.25,0,0,0
2007 - Baugh Bill & Hill David,2007,1,0,0,0,0,19.7,0,0,0,0
2007 - Bayliss Kyle & Channon Philip,2007,3,2.13,0,3.8,0,0,18.82,0,0,0
2007 - Beardsell Lena,2007,3,2.33,3.07,3.98,0,0,0,0,0,0
2007 - Beazley Daniel & Hallam David,2007,1,0,0,0,0,18.42,0,0,0,0
2007 - Beazley Danny,2007,2,1.75,0,3.12,0,0,0,0,0,0
2007 - Beazley Danny & Hallam David,2007,1,0,0,0,4.75,0,0,0,0,0
2007 - Bee Liam & Darling Wayne,2007,1,0,0,0,0,0,0,0,18.87,0
2007 - Bee Liam & Howson Lee,2007,1,0,0,3.58,0,0,0,0,0,0
2007 - Benjamin Samuel & Robinson Joe,2007,1,0,0,0,0,0,28.72,0,0,0
2007 - Bennet Stuart,2007,1,1.9,0,0,0,0,0,0,0,0
2007 - Benson Will & Buttery Will,2007,1,2.78,0,0,0,0,0,0,0,0
2007 - Benson Will & Livingstone Tom,2007,1,0,0,0,7.12,0,0,0,0,0
2007 - Benson Will & Nightingale Tom,2007,1,0,0,4.33,0,0,0,0,0,0
2007 - Benson William & Livingstone Tom,2007,1,0,0,0,0,0,21.07,0,0,0
2007 - Berrow Adrian & Doyle Calum,2007,1,0,3.23,0,0,0,0,0,0,0
2007 - Berrow Adrian & Kell Christopher,2007,1,2.27,0,0,0,0,0,0,0,0
2007 - Berrows Adrian & Kell Christopher,2007,1,0,0,0,0,24.3,0,0,0,0
2007 - Betteridge James & Trace Tim,2007,2,2.45,0,0,6.6,0,0,0,0,0
2007 - Betteridge Zoe & Knott Robert,2007,5,2.08,2.75,3.62,5.75,0,0,0,0,0
2007 - Betts Steve & Stobbart Daniel,2007,7,2.43,3.53,4.13,6.38,22.62,0,0,0,0
2007 - Bettteridge James & Trace Tim,2007,1,0,0,0,0,23.97,0,0,0,0
2007 - Billings Paul & Hellier Chris,2007,4,2.85,3.63,5,0,28.73,0,0,0,0
2007 - Bird Simon & Lauder Dan,2007,2,0,2.87,3.85,0,0,0,0,0,0
2007 - Bird Simon & Lauder Daniel,2007,1,0,0,0,0,0,19.22,0,0,0
2007 - Blackburn Kieron & Damant Simon,2007,1,0,3.13,0,0,0,0,0,0,0
2007 - Blackburn Kieron & Long Paimek,2007,1,0,0,4.98,0,0,0,0,0,0
2007 - Blackburn Kieron & Long Patrick,2007,1,0,0,0,0,27.05,0,0,0,0
2007 - Blackman Peter & Maguire Kieran,2007,1,0,0,0,0,22.43,0,0,0,0
2007 - Blackwell Belinda & White Ian,2007,1,2.3,0,0,0,0,0,0,0,0
2007 - Blatchley Anthony & feuillade Alec,2007,3,2.33,0,4.07,7.28,0,0,0,0,0
2007 - Blurton Charles & Downing Chris,2007,1,0,0,0,0,0,22.08,0,0,0
2007 - Blurton Charlie & Downing Chris,2007,2,0,4.25,4.37,0,0,0,0,0,0
2007 - Blyth Duncan,2007,5,1.75,2.25,3.05,4.97,0,0,0,0,0
2007 - Boxall Andrew & Dobbs John,2007,1,0,0,0,0,24,0,0,0,0
2007 - Boxall Andy & Dobbs John,2007,1,0,0,0,6.73,0,0,0,0,0
2007 - Boyden Carl & Ware Matthew,2007,1,0,0,0,0,24.47,0,0,0,0
2007 - Boydon Carl & Ware Matthew,2007,3,0,3.15,4,6.6,0,0,0,0,0
2007 - Boyle Oliver & Byron Charles,2007,1,0,0,0,0,0,20.23,0,0,0
2007 - Boyle Oliver & Eggelhoefer Scott,2007,1,0,3.48,0,0,0,0,0,0,0
2007 - Boyle Ollie & Byron Charlie,2007,1,0,0,4.22,0,0,0,0,0,0
2007 - Boyle Ollie & Egelhoeffer Scott,2007,1,2.45,0,0,0,0,0,0,0,0
2007 - Boyle Ollie & kelley Tom,2007,1,0,0,0,6.33,0,0,0,0,0
2007 - Bragg Mark,2007,1,2.1,0,0,0,0,0,0,0,0
2007 - Bragg mark & Moessner Susanne,2007,1,0,0,3.85,0,0,0,0,0,0
2007 - Brain james & Stuart Chris,2007,2,0,0,0,7.18,23.53,0,0,0,0
2007 - Brendan Ko & Kantsedikas Ilia,2007,1,0,0,0,7.55,0,0,0,0,0
2007 - Briant Jennifer & Spence Meghan,2007,4,2.38,0,3.97,6.57,0,20.57,0,0,0
2007 - Bright Julie & Gouldby Marie,2007,1,2.58,0,0,0,0,0,0,0,0
2007 - Brimfield Ed & Hosford Ben,2007,2,0,2.75,3.45,0,0,0,0,0,0
2007 - Brimfield Edward & Hosford Benjamin,2007,1,0,0,0,0,0,17.93,0,0,0
2007 - Brokenshire-Trow Rory & Lancaster James,2007,1,0,0,0,0,0,18.57,0,0,0
2007 - Brooks Ed & Muller Tim,2007,5,1.92,2.45,3.22,5.25,0,0,0,0,0
2007 - Brooks Edward & Muller Tim,2007,1,0,0,0,0,0,16.32,0,0,0
2007 - Brown Cameron & O'Neill Laurence,2007,1,0,0,0,0,0,21.23,0,0,0
2007 - Brown Cameron & O'Niell Laurence,2007,3,2.5,0,4.03,6.8,0,0,0,0,0
2007 - Brownlie Kathryn & Lynch Tim,2007,5,2.3,2.92,3.95,6.62,0,0,0,0,0
2007 - Bruna Claire & Frost Louisa,2007,4,2.85,0,4.7,8.38,0,24.5,0,0,0
2007 - Buchan Thomas & Winch Alex,2007,1,0,0,0,0,0,22.18,0,0,0
2007 - Buchan tom & Tysoe David,2007,1,3.48,0,0,0,0,0,0,0,0
2007 - Buchan Tom & Winch Alex,2007,2,0,3.72,4.57,0,0,0,0,0,0
2007 - Bullock Richard,2007,1,1.82,0,0,0,0,0,0,0,0
2007 - Burbeck Kat & Mara Gillian,2007,2,2.08,0,0,5.67,0,0,0,0,0
2007 - Burbeck Katherine & Mara Gillian,2007,1,0,0,0,0,19.92,0,0,0,0
2007 - Burgoyne Paul & Kins Steve,2007,1,0,2.4,0,0,0,0,0,0,0
2007 - Butler Aaron & Green Leo,2007,1,0,0,0,0,0,0,19.52,0,0
2007 - Butler Billy,2007,1,2.48,0,0,0,0,0,0,0,0
2007 - Butler Billy & Green Leo,2007,2,0,0,4.07,6.32,0,0,0,0,0
2007 - Buttery Will & Isaac Fraser,2007,2,0,0,4.55,7.42,0,0,0,0,0
2007 - Buttery William & Isaac Fraser,2007,1,0,0,0,0,0,21.88,0,0,0
2007 - Cameron-Blackie Archie & Sloper Olly,2007,4,2.72,3.37,4.35,0,0,21.05,0,0,0
2007 - Candy ben,2007,2,0,0,3.95,6.12,0,0,0,0,0
2007 - Cannon Dominic & Frearson Ellie,2007,6,2.32,2.97,3.9,6.58,0,19.65,0,0,0
2007 - Carpenter Debbie & Smith Howard,2007,1,0,3.83,0,0,0,0,0,0,0
2007 - Carpenter Hollie,2007,1,2.3,0,0,0,0,0,0,0,0
2007 - Carpenter James & England Andrew,2007,1,0,0,0,0,32.23,0,0,0,0
2007 - Carpenter mike & Worth Andy,2007,1,2.05,0,0,0,0,0,0,0,0
2007 - Carrol Richard & Squibbs Austin,2007,2,3.18,0,4.82,0,0,0,0,0,0
2007 - Carroll Richards & Squibbs Austin,2007,1,0,0,0,0,0,22.38,0,0,0
2007 - Cartwright Julia & Walton Lisa,2007,3,2.52,3.47,0,7.92,0,0,0,0,0
2007 - Caton Catherine & Rowlinson Michael,2007,2,2.98,3.73,0,0,0,0,0,0,0
2007 - Catto John & Clark Jeremy,2007,4,2.18,0,3.68,5.92,22.68,0,0,0,0
2007 - Cawthorn William & Reynolds Dan,2007,1,0,2.87,0,0,0,0,0,0,0
2007 - Champ Lee & Davies Paul,2007,6,2.22,2.83,3.63,5.98,21.6,0,0,0,0
2007 - Chapman Leigh & Clow Tom,2007,3,0,0,3.93,6.67,25.22,0,0,0,0
2007 - Childerstone Amanda,2007,2,2.48,3.38,0,0,0,0,0,0,0
2007 - Childerstone H & Croucher V,2007,1,2.28,0,0,0,0,0,0,0,0
2007 - Childerstone J & Childerstone M,2007,1,2.32,0,0,0,0,0,0,0,0
2007 - Childerstone Mark & Welch Matthew,2007,1,1.77,0,0,0,0,0,0,0,0
2007 - Chope Antonia & Stansbury Caitlin,2007,1,0,0,0,0,0,23.85,0,0,0
2007 - Chope Antonia & Stansbury Catlin,2007,2,0,3.6,0,7.73,0,0,0,0,0
2007 - Christensen Eva & Nielsen Tine,2007,1,0,0,0,0,0,0,23.3,0,0
2007 - Claridge Robert & Johnson Nicholas,2007,6,2.43,3.18,4.13,6.97,25.57,0,0,0,0
2007 - Clark Jeremy,2007,1,0,3.78,0,0,0,0,0,0,0
2007 - Cleaver Brendan,2007,2,2.45,0,4.13,0,0,0,0,0,0
2007 - Clifford Stuart & Dawkins Russ,2007,3,1.88,2.4,3.1,0,0,0,0,0,0
2007 - Clow Tom & Tarnowski Tom,2007,1,0,3.2,0,0,0,0,0,0,0
2007 - Coleman Paul & Nagle Thomas,2007,2,0,0,3.77,0,0,19.93,0,0,0
2007 - Coleman Paul & O'Connor Kieran,2007,1,2.38,0,0,0,0,0,0,0,0
2007 - Colley Sharon & Dark Alison,2007,3,0,2.75,3.63,0,20.77,0,0,0,0
2007 - Collins Adam & Gardner David,2007,3,0,0,4.55,8.07,0,24.28,0,0,0
2007 - Collins Angus & Collins Lucy,2007,2,0,0,4.17,0,0,20.68,0,0,0
2007 - Collins Jessica & Colyer Ben,2007,1,0,2.85,0,0,0,0,0,0,0
2007 - Collyer Brandon & Eardley Sandra,2007,1,0,0,0,0,22.32,0,0,0,0
2007 - Colombo Richard,2007,1,0,0,0,0,0,0,0,0,21.5
2007 - Colyer Daniel,2007,2,2.35,2.93,0,0,0,0,0,0,0
2007 - Conway James & Conway Megan,2007,2,2.48,3.35,0,0,0,0,0,0,0
2007 - Cooper Anita,2007,2,2.63,3.35,0,0,0,0,0,0,0
2007 - Cooper Ed,2007,1,0,0,4.75,0,0,0,0,0,0
2007 - Cooper Ed & Wheeler Adrian,2007,1,0,3.02,0,0,0,0,0,0,0
2007 - Cornwell Adam & Grill Will,2007,4,2.72,0,4.35,7.25,0,21.1,0,0,0
2007 - Coyles Patrica & Passmore Emma,2007,3,2.63,0,4.33,7.42,0,0,0,0,0
2007 - Coyles Patricia & Passmore Emma,2007,1,0,0,0,0,0,22.27,0,0,0
2007 - Craddock J & Long Tim,2007,6,2.38,3.17,3.95,6.5,22.95,0,0,0,0
2007 - Creamer Charlotte,2007,1,0,3.48,0,0,0,0,0,0,0
2007 - Creamer Robert,2007,2,2.63,3.33,0,0,0,0,0,0,0
2007 - Creamer Robert & Murphy Adam,2007,2,0,0,4.2,7.4,0,0,0,0,0
2007 - Creswell Richard & Rosedale Ben,2007,1,0,0,0,7.27,0,0,0,0,0
2007 - Creswell Richard & Rosedale Benjamin,2007,1,0,0,0,0,0,0,20.57,0,0
2007 - Crook Jonathan & Kelly Alun,2007,2,0,0,3.98,0,24.67,0,0,0,0
2007 - Curtis Alan & Williams Dean,2007,5,2.25,2.88,3.73,6.25,0,0,0,0,0
2007 - Dabney Owen & McCarroll Stuart,2007,3,0,2.73,3.75,0,30.6,0,0,0,0
2007 - Dains Ron & Head Mike,2007,5,2.33,3.08,4.05,6.68,0,0,0,0,0
2007 - Damant Simon,2007,1,0,0,4.12,0,0,0,0,0,0
2007 - Daniels Nick,2007,1,0,2.75,0,0,0,0,0,0,0
2007 - Daniels Nick & Lewis Richard,2007,2,1.8,0,3.25,0,0,0,0,0,0
2007 - Daniels Wiki & Gray Susan,2007,1,0,2.7,0,0,0,0,0,0,0
2007 - Dark Simon,2007,2,1.83,2.38,0,0,0,0,0,0,0
2007 - Davenport Andrew & Pearson Simon,2007,4,2.63,3.23,4.27,0,0,0,21.18,0,0
2007 - Davey P & Deen P,2007,1,2.6,0,0,0,0,0,0,0,0
2007 - Davey Trish & Dawe Linda,2007,2,1.9,2.5,0,0,0,0,0,0,0
2007 - Dawe Linda,2007,1,0,0,0,0,0,0,0,0,17.88
2007 - Dennis Jennifer & Tomkins Naomi,2007,1,0,0,5.2,0,0,0,0,0,0
2007 - Dickinson Ella & Dickinson Phoebe,2007,2,0,0,4.88,0,0,25.25,0,0,0
2007 - Dobbin Daniel & Pennock Martin,2007,2,0,0,0,7.77,25.95,0,0,0,0
2007 - Dobson Edward,2007,1,3.3,0,0,0,0,0,0,0,0
2007 - Dobson Kevin,2007,2,0,0,4.82,0,0,0,0,0,24.3
2007 - Dodson Freddie & Heaton-Renshaw Achie,2007,1,0,0,0,0,0,18.43,0,0,0
2007 - Dodson Freddie & Heaton-Renshaw Archie,2007,3,0,2.95,3.87,6.97,0,0,0,0,0
2007 - Doman Kirsty-Louise & Whitehead Katie-Louise,2007,1,0,0,0,0,0,23.1,0,0,0
2007 - Doman Kirsty & Whitehead Katie,2007,2,2.7,0,4.57,0,0,0,0,0,0
2007 - Doman Paul & Wilkins Stephen,2007,5,1.98,2.63,3.57,5.98,0,0,0,0,0
2007 - Doran Ed,2007,5,3.05,3.75,4.92,7.58,0,0,0,0,0
2007 - Doran Simon & Medland Chloe,2007,6,2.52,3.27,4.53,6.92,0,22.03,0,0,0
2007 - Dore Graham & Stocker Mark,2007,4,2.38,0,3.77,6,21.92,0,0,0,0
2007 - Dower kevin & Phillips Stephen,2007,2,0,0,4.47,7.33,0,0,0,0,0
2007 - Dowlen Henry & Hayler Tim,2007,1,0,0,0,0,22.92,0,0,0,0
2007 - Doyle Calum & Griffith Royston,2007,1,2.27,0,0,0,0,0,0,0,0
2007 - Doyle Michael & Hynds Scott,2007,1,0,0,3,0,0,0,0,0,0
2007 - Doyle Michael & Lawler Ivan,2007,1,0,2.18,0,0,0,0,0,0,0
2007 - Draper Andrea & Draper Hannah,2007,1,3.27,0,0,0,0,0,0,0,0
2007 - Draper Kevin,2007,1,2.77,0,0,0,0,0,0,0,0
2007 - Dresser Guy,2007,4,0,2.45,3.27,5.15,0,0,0,0,16.23
2007 - Drummond John,2007,1,2.08,0,0,0,0,0,0,0,0
2007 - Dryden Piers & Godber Neil,2007,1,0,0,0,0,28.53,0,0,0,0
2007 - Duggan Mary & Ralph David,2007,1,2.7,0,0,0,0,0,0,0,0
2007 - Dunnett Jason & Jones Christopher,2007,1,0,0,0,0,34.92,0,0,0,0
2007 - Dyke Martin & Thomas Peter,2007,1,2.6,0,0,0,0,0,0,0,0
2007 - Dyvendal Niclas & Frydenlund Svend,2007,1,0,0,0,0,25.03,0,0,0,0
2007 - Ede Nathan,2007,1,0,3.02,0,0,0,0,0,0,0
2007 - Edmondson James & Guy Emily,2007,1,0,0,0,0,0,20.72,0,0,0
2007 - Edmondson James & Guy Millie,2007,1,0,0,4.07,0,0,0,0,0,0
2007 - Edmunds William,2007,1,0,2.83,0,0,0,0,0,0,0
2007 - Edwards Joanne & Edwards Susan,2007,1,2.73,0,0,0,0,0,0,0,0
2007 - Edwards Paul,2007,3,1.92,2.57,3.48,0,0,0,0,0,0
2007 - Edwards Roger A & Sale Giovanni,2007,1,0,0,0,0,26.3,0,0,0,0
2007 - Edwards Roger & Sale Giovanni,2007,5,2.62,3.42,4.37,7.28,0,0,0,0,0
2007 - Eggelhoeffer Scott & Trow Rory,2007,1,0,0,4.18,0,0,0,0,0,0
2007 - Eldred Will & Webb George,2007,3,2.27,0,3.48,5.63,0,0,0,0,0
2007 - Eldred William & Webb George,2007,1,0,0,0,0,0,17.75,0,0,0
2007 - Elliot Bryan & Meacock David,2007,1,0,0,4.87,0,0,0,0,0,0
2007 - Emery Matt & Parker Phil,2007,2,5.58,0,0,0,0,0,0,0,0
2007 - Ethell Dave & Tarnowski Tom A,2007,1,0,0,0,0,23.58,0,0,0,0
2007 - Evans Neil & Fisher Adrian,2007,1,0,0,0,0,22.83,0,0,0,0
2007 - Evans Nicole & Lucas Edward,2007,2,2.12,2.78,0,0,0,0,0,0,0
2007 - Farquarson James,2007,1,0,0,0,0,0,0,0,0,22.47
2007 - Farquharson James,2007,3,2.45,3.32,4.4,0,0,0,0,0,0
2007 - Farrance Alan & Voller Shirine,2007,2,2.47,3.22,0,0,0,0,0,0,0
2007 - Fennemore Simon,2007,2,0,2.27,0,0,0,0,0,0,15.22
2007 - Ferguson Laura,2007,1,0,3.23,0,0,0,0,0,0,0
2007 - Feuillade Aaron & Fisher James,2007,1,0,3.15,0,0,0,0,0,0,0
2007 - Feuillade Alec & Murnaghan Liz,2007,1,0,3.12,0,0,0,0,0,0,0
2007 - Fielden Paul & Howell Matt,2007,5,1.92,2.57,3.32,5.48,0,0,0,0,0
2007 - Firman David & Littlewood Kim,2007,1,2.82,0,0,0,0,0,0,0,0
2007 - Flint Ruth & Lane Rebecca,2007,3,3,0,5.1,0,0,22.88,0,0,0
2007 - Flynn Dave,2007,5,1.9,2.48,3.28,5.3,0,0,0,0,0
2007 - Ford David & Freeman Neil,2007,2,2.15,2.7,0,0,0,0,0,0,0
2007 - Ford Peter & Martin Michael R,2007,1,0,0,0,0,19.78,0,0,0,0
2007 - Ford Peter & Martin Mike,2007,5,1.88,2.47,3.35,5.58,0,0,0,0,0
2007 - Foster Richard & Reese Philip,2007,1,2.4,0,0,0,0,0,0,0,0
2007 - Fowler Alex & Ledward Tom,2007,1,0,4.13,0,0,0,0,0,0,0
2007 - Francis Lynn,2007,1,2.62,0,0,0,0,0,0,0,0
2007 - Franklin Zachary,2007,1,2.63,0,0,0,0,0,0,0,0
2007 - Freeman Adrian & Harrison Martyn,2007,1,2.43,0,0,0,0,0,0,0,0
2007 - Freeman Sam,2007,2,1.95,2.5,0,0,0,0,0,0,0
2007 - Freemantle James & Ochilitree Ian,2007,3,2.22,2.92,3.83,0,0,0,0,0,0
2007 - Freer Alan,2007,2,0,2.68,3.55,0,0,0,0,0,0
2007 - Freestone Christopher & Tsang Thomas,2007,1,2.5,0,0,0,0,0,0,0,0
2007 - Frost Freddie & Scieniewicz Sam,2007,1,0,0,0,0,0,21.95,0,0,0
2007 - Frost Freddy & Sieniewicz Sam,2007,3,2.43,0,4.05,7.13,0,0,0,0,0
2007 - Fry Henry & Phelps Jeremy,2007,1,0,0,0,0,23.68,0,0,0,0
2007 - Gadd Alexander & Gadd Martin,2007,1,0,0,0,0,0,0,0,26.68,0
2007 - Gaffard Catherine & Lucas Dominique,2007,3,0,3.4,4.3,7.4,0,0,0,0,0
2007 - Gamzine Arthom & Rigg Jonathan,2007,1,0,0,0,0,0,23.15,0,0,0
2007 - Gamzine Athom & Rigg Jonathan,2007,2,0,3.38,4.3,0,0,0,0,0,0
2007 - Garrard Lucy & James Alex,2007,1,0,0,4.4,0,0,0,0,0,0
2007 - Garrard Lucy & Wolstenholme Steph,2007,2,3.48,0,0,0,0,24.2,0,0,0
2007 - Garrood Charles & Stevenson James,2007,1,0,0,0,0,22.92,0,0,0,0
2007 - Gibbs Kathryn & Scott Jonathan,2007,6,2.75,3.27,4.33,6.92,0,0,0,0,0
2007 - Gilbert-Johns Richard & Hetherington P,2007,2,2.4,3.15,0,0,0,0,0,0,0
2007 - Gohar Alexis,2007,3,2.18,0,3.68,0,0,0,0,0,18.83
2007 - Golder Richard,2007,3,1.9,2.52,0,0,0,0,0,0,16.53
2007 - Goodall Michael & Gordon Jason,2007,1,0,0,3.45,0,0,0,0,0,0
2007 - Goodall Michael & Smith Kristian,2007,1,0,0,0,0,22.47,0,0,0,0
2007 - Goodey John,2007,2,2.27,2.97,0,0,0,0,0,0,0
2007 - Goodlad Bethany,2007,1,2.52,0,0,0,0,0,0,0,0
2007 - Goodlad Bethany & Hussey Laura,2007,1,0,3.17,0,0,0,0,0,0,0
2007 - Gordon Jason & Melly Matthew,2007,1,0,0,0,0,21.32,0,0,0,0
2007 - Gower kevin & Phillips Stephen,2007,1,0,3.48,0,0,0,0,0,0,0
2007 - Gray Susan,2007,1,2.2,0,0,0,0,0,0,0,0
2007 - Green Ben,2007,1,0,3.82,0,0,0,0,0,0,0
2007 - Green Ben & John Dominic,2007,1,2.58,0,0,0,0,0,0,0,0
2007 - Green Henry & Ward Alistair,2007,2,0,4.1,5.13,0,0,0,0,0,0
2007 - Greenaway B & Worth Andrew,2007,1,0,0,0,0,20.6,0,0,0,0
2007 - Greenaway Brian & Worth Andy,2007,1,0,0,3.48,0,0,0,0,0,0
2007 - Greensted Nicholas & Newton Jack,2007,3,2.27,0,3.9,5.85,0,0,0,0,0
2007 - Greensted Nick & Newton Jack,2007,1,0,0,0,0,0,18.02,0,0,0
2007 - Grouteau Julian & Wall Matthew,2007,3,0,2.98,3.93,6.2,0,0,0,0,0
2007 - Grouteau Julien & Wall Matthew,2007,1,0,0,0,0,23.23,0,0,0,0
2007 - Gurney Lawrence & Wilmot John,2007,1,0,0,4.27,0,0,0,0,0,0
2007 - Gurney Lawrence & Wilmott John,2007,1,0,0,0,0,0,19.92,0,0,0
2007 - Haddock Charlie & Tysoe David,2007,2,0,0,4.77,0,0,24.4,0,0,0
2007 - Hall Kathryn,2007,1,0,2.7,0,0,0,0,0,0,0
2007 - Hallam David,2007,1,1.88,0,0,0,0,0,0,0,0
2007 - Hallam Michael & White Paul,2007,1,0,0,0,0,0,0,27.27,0,0
2007 - Harding Chris & Stewart Duncan,2007,1,0,0,0,0,37.37,0,0,0,0
2007 - Harding Ollie,2007,5,1.83,2.43,3.27,5.27,0,0,0,0,0
2007 - Hardy Katie,2007,1,2.4,0,0,0,0,0,0,0,0
2007 - Hargreaves Charlotte & Wilton Anna,2007,2,0,0,4.73,0,0,25.08,0,0,0
2007 - Hariton Will & Morgan Sam,2007,1,3.15,0,0,0,0,0,0,0,0
2007 - Harris Robin & Robson Alan,2007,2,0,0,0,6.35,23.03,0,0,0,0
2007 - Hart Jim & Wall Steve,2007,1,0,0,0,7.13,0,0,0,0,0
2007 - Hartmut Forster,2007,1,0,0,0,0,0,0,0,0,18.37
2007 - Haynes Chris & Watson Randall,2007,5,2.02,2.67,3.5,5.6,0,0,0,0,0
2007 - Heath Roger & Lockyer David,2007,6,2.37,3.12,4.1,7.13,25.98,0,0,0,0
2007 - Henderson Katrina & Simmons Anna,2007,1,0,4.07,0,0,0,0,0,0,0
2007 - Hendron Henry & Hendron Richard,2007,2,1.78,2.37,0,0,0,0,0,0,0
2007 - Hendron Richard,2007,1,0,0,3.02,0,0,0,0,0,0
2007 - Hendron Richard & Lanighan Paul,2007,2,0,0,0,4.7,17.35,0,0,0,0
2007 - Henson Adrian,2007,2,2.02,2.68,0,0,0,0,0,0,0
2007 - Herbert Doug,2007,1,1.97,0,0,0,0,0,0,0,0
2007 - Hewett Earl & Martin Ian,2007,2,2.08,2.68,0,0,0,0,0,0,0
2007 - Hewlett Ellie & Newell Will,2007,1,0,0,0,0,0,23.57,0,0,0
2007 - Hewlett Ellie & Newell William,2007,1,0,0,4.37,0,0,0,0,0,0
2007 - Hickinbotham Millie & Morris-Adams Joshua,2007,1,0,0,0,0,0,29,0,0,0
2007 - Hiley Roger & Spring Nat,2007,2,0,2.72,0,5.92,0,0,0,0,0
2007 - Hiley Roger & Spring Nathaniel,2007,1,0,0,0,0,20.62,0,0,0,0
2007 - Hiley Roger & Stone Julian,2007,1,2.28,0,0,0,0,0,0,0,0
2007 - Hills Chris & Pearce Ray,2007,6,2.37,3.12,4.15,6.67,23.63,0,0,0,0
2007 - Hinves James & Nicholson Leon,2007,5,1.9,2.47,3.32,5.45,0,0,0,0,0
2007 - Hobbs Phil & Wingham Christopher,2007,1,0,0,0,0,28.02,0,0,0,0
2007 - Hobbs Philip,2007,1,0,3.75,0,0,0,0,0,0,0
2007 - Hobbs Philip & Wingham Christopher,2007,1,0,0,0,8.42,0,0,0,0,0
2007 - Hoey Stephen & McKerr Darryl,2007,1,0,0,0,0,33.52,0,0,0,0
2007 - Hoey Steve & McKerr Hoey,2007,2,0,2.92,3.88,0,0,0,0,0,0
2007 - Hogan Mark & Panayi Marcus,2007,2,1.93,0,3.22,0,0,0,0,0,0
2007 - Hogan Mark & Panayi Markus,2007,1,0,0,0,0,21.13,0,0,0,0
2007 - Holland Tim & Horne Jon,2007,3,2.7,3.67,4.63,0,0,0,0,0,0
2007 - Holley John & Russell-Cobb William,2007,3,0,3.83,0,7.3,0,23.05,0,0,0
2007 - Houston John,2007,2,2.55,3.43,0,0,0,0,0,0,0
2007 - Howe Barry,2007,6,2.33,3.08,4.05,6.52,0,0,0,0,20.17
2007 - Howe Chris & Moule Keith,2007,2,1.68,0,3.02,0,0,0,0,0,0
2007 - Howson Peter & Wakeling Matt,2007,3,1.97,2.62,3.4,0,0,0,0,0,0
2007 - Huber Adam & Young Caroline,2007,1,0,0,4.22,0,0,0,0,0,0
2007 - Huber Adam & Young Carolyne,2007,1,0,0,0,0,26.03,0,0,0,0
2007 - Hunt Charlie & James Alex,2007,3,3.82,3.12,0,0,0,19.78,0,0,0
2007 - Hunter Fiona & Scott Tim,2007,1,1.97,0,0,0,0,0,0,0,0
2007 - Huntley Simon & Mills Jonathan,2007,1,0,0,0,0,29.27,0,0,0,0
2007 - Hussey Laura & Rooney Sophie,2007,1,2.42,0,0,0,0,0,0,0,0
2007 - Ilivopiolo Aleko,2007,1,0,3.18,0,0,0,0,0,0,0
2007 - Illinesi Jennifer & Williams Katie,2007,1,2.15,0,0,0,0,0,0,0,0
2007 - Ince A J & Neale Clive,2007,1,0,0,0,0,19.23,0,0,0,0
2007 - Ince John & Neale Clive,2007,5,1.93,2.55,3.47,5.58,0,0,0,0,0
2007 - Jacklin Trevor & Petts Athol,2007,4,0,3.47,4.77,7.35,0,0,22.72,0,0
2007 - Jagger Roger & Owen Roger,2007,1,0,0,0,0,26.7,0,0,0,0
2007 - James Silcock & Thomas Kelly,2007,1,2.07,0,0,0,0,0,0,0,0
